id	rating	is aggro	is control
1	5	0	0
2	4	1	0
3	8	1	1
4	6	0	1
5	5	1	0
6	5	0	0
7	7	1	0
8	5	0	0
9	7	0	0
10	4	0	1
11	5.5	1	0
12	6.5	0	1
13	5	0	0
14	4	1	0
15	6	0	0
16	3	0	0
17	6	0	0
18	8	1	0
19	6	0	0
20	3	0	0
21	5.5	0	0
22	2	0	0
23	4	0	0
24	1	0	-1
25	4	1	-1
26	6	1	0
27	5	0	1
28	6	1	1
29	7	1	1
30	6	1	0
31	3	0	-1
32	7	0	0
33	7	0	1
34	6	0	0
35	1	0	0
36	6	-1	0
37	9	0	1
38	8.5	1	1
39	7	0	1
40	6	0	1
41	6	0	1
42	4	0	0
43	4	0	1
44	6	0	1
45	6	0	0
46	4	0	0
47	7	0	1
48	9	0	1
49	8	0	1
50	5	0	0
51	7	0	1
52	6	0	0
53	8	0	1
54	4.5	0	0
55	3	-1	0
56	6	-1	1
57	3	-1	0
58	2	0	0
59	4	0	0
60	1	0	0
61	3	0	0
62	2	-1	1
63	5	0	1
64	5	0	1
65	7	1	0
66	5.5	0	0
67	5.5	0	0
68	7	0	0
69	10	1	0
70	7	1	0
71	3	0	0
72	5	0	0
73	8	0	1
74	4	0	0
75	8	1	0
76	6.5	0	0
77	5	0	0
78	7.5	1	0
79	6	0	0
80	9	0	1
81	8	1	0
82	8	0	1
83	5	0	0
84	7	0	1
85	5	0	0
86	4	0	0
87	5	0	0
88	6	0	0
89	3	0	0
90	5	1	0
91	9	1	1
92	3	-1	0
93	7	0	0
94	7	0	1
95	8	1	0
96	8	1	0
97	6	0	1
98	7	0	1
99	10	1	1
100	7	0	1
101	4	0	0
102	3	0	0
103	7	0	1
104	5.5	0	0
105	6.5	0	1
106	6	0	0
107	3	0	1
108	4	0	1
109	6	0	0
110	3	0	0
111	5.5	0	1
112	4	0	1
113	2	0	1
114	7	0	1
115	5	0	0
116	7	-1	1
117	6.5	1	0
118	7.5	1	0
119	6	0	0
120	6	0	1
121	4	-1	0
122	7	0	1
123	6	0	-1
124	5	0	1
125	3	0	0
126	4	0	0
127	4	0	0
128	6	1	0
129	5	0	0
130	4	0	1
131	3	0	0
132	3	1	0
133	5	0	0
134	4.5	0	0
135	6	1	0
136	7	0	0
137	4	0	0
138	3	0	0
139	5	0	0
140	2	1	0
141	5	0	1
142	8	1	0
143	3	1	-1
144	7	0	1
145	1	-1	0
146	1	0	0
147	4	0	0
148	5	0	1
149	2	0	0
150	5	0	0
151	6	0	1
152	3	-1	1
153	4	0	1
154	3	0	0
155	3	0	1
156	4	1	0
157	3	0	1
158	5	0	1
159	4	0	1
160	2	1	0